name	type	county	state	county_code	population	num_new	num_old
Smyrna City Jail	Local	Cobb County	GA	13067	47	1157	1156
Unlisted	Unlisted	Cobb County	GA	13067	3	1158	1157
Coffee Correctional Facility- CCA	Private	Coffee County	GA	13069	1893	1159	1158
Coffee County Jail	Local	Coffee County	GA	13069	264	1160	1159
Colquitt County Jail	Local	Colquitt County	GA	13071	217	1161	1160
Colquitt County Correctional Institution	Local	Colquitt County	GA	13071	189	1162	1161
Columbia County Detention Center	Local	Columbia County	GA	13073	261	1163	1162
Coweta County Jail	Local	Coweta County	GA	13077	377	1164	1163
Crawford County Jail	Local	Crawford County	GA	13079	15	1165	1164
Crisp County Jail	Local	Crisp County	GA	13081	197	1166	1165
Dade County Jail	Local	Dade County	GA	13083	94	1167	1166
Dawson County Jail	Local	Dawson County	GA	13085	137	1168	1167
Bainbridge Substance Abuse Treatment Center	State	Decatur County	GA	13087	385	1169	1168
Decatur County Jail	Local	Decatur County	GA	13087	146	1170	1169
Decatur County Correctional Institution	Local	Decatur County	GA	13087	284	1171	1170
Dekalb County Jail	Local	DeKalb County	GA	13089	3219	1172	1171
Unlisted	Unlisted	DeKalb County	GA	13089	3	1173	1172
Metro Regional Youth Detention	State	DeKalb County	GA	13089	168	1174	1173
Metro State Prison	State	DeKalb County	GA	13089	1065	1175	1174
Dodge State Prison	State	Dodge County	GA	13091	1232	1176	1175
Dodge County Jail	Local	Dodge County	GA	13091	76	1177	1176
Dooly State Prison	State	Dooly County	GA	13093	1764	1178	1177
Dooly County Jail	Local	Dooly County	GA	13093	133	1179	1178
Dougherty County Jail	Local	Dougherty County	GA	13095	829	1180	1179
Albany Diversion Center	State	Dougherty County	GA	13095	154	1181	1180
Unlisted	Unlisted	Douglas County	GA	13097	5	1182	1181
Douglas County Jail	Local	Douglas County	GA	13097	798	1183	1182
Early County Jail	Local	Early County	GA	13099	47	1184	1183
Effingham County Prison	Local	Effingham County	GA	13103	495	1185	1184
Elbert County Jail	Local	Elbert County	GA	13105	50	1186	1185
Emanuel Probation Detention Center	State	Emanuel County	GA	13107	267	1187	1186
Emanuel Transitional Center	State	Emanuel County	GA	13107	217	1188	1187
Emanuel County Jail	Local	Emanuel County	GA	13107	118	1189	1188
Smith Transitional Center	State	Evans County	GA	13109	353	1190	1189
Evans County Jail	Local	Evans County	GA	13109	18	1191	1190
Fannin County Jail	Local	Fannin County	GA	13111	55	1192	1191
Fayette County Jail	Local	Fayette County	GA	13113	287	1193	1192
Floyd County Jail	Local	Floyd County	GA	13115	653	1194	1193
Floyd County Prison	Local	Floyd County	GA	13115	355	1195	1194
Unlisted	Unlisted	Forsyth County	GA	13117	4	1196	1195
Forsyth County Jail	Local	Forsyth County	GA	13117	235	1197	1196
Franklin County Jail	Local	Franklin County	GA	13119	65	1198	1197
Fulton County Jail	Local	Fulton County	GA	13121	1894	1199	1198
Unlisted	Unlisted	Fulton County	GA	13121	24	1200	1199
Atlanta Transitional Center	State	Fulton County	GA	13121	253	1201	1200
Atlanta City Jail	Local	Fulton County	GA	13121	453	1202	1201
Unlisted	Unlisted	Fulton County	GA	13121	4	1203	1202
Atlanta USP and Atlanta Camp	Federal	Fulton County	GA	13121	2389	1204	1203
Comprehensive Sanction Center	Private	Fulton County	GA	13121	140	1205	1204
Unlisted	Unlisted	Fulton County	GA	13121	7	1206	1205
East Point City Jail	Local	Fulton County	GA	13121	12	1207	1206
Roswell City Jail	Local	Fulton County	GA	13121	51	1208	1207
Alpharetta Jail	Local	Fulton County	GA	13121	38	1209	1208
Gilmer County Jail	Local	Gilmer County	GA	13123	113	1210	1209
Glynn County Detention Center	Local	Glynn County	GA	13127	448	1211	1210
Gordon County Jail	Local	Gordon County	GA	13129	281	1212	1211
Grady County Detention Center	Local	Grady County	GA	13131	113	1213	1212
Greene County Law Enforcement Center	Local	Greene County	GA	13133	61	1214	1213
Gwinnett County Jail	Local	Gwinnett County	GA	13135	3030	1215	1214
Phillips State Prison	State	Gwinnett County	GA	13135	824	1216	1215
Habersham County Jail	Local	Habersham County	GA	13137	114	1217	1216
Lee Arrendale Corr Inst	State	Habersham County	GA	13137	1545	1218	1217
Hall County Correctional Institution	Local	Hall County	GA	13139	148	1219	1218
Hall County Detention Center	Local	Hall County	GA	13139	1122	1220	1219
Hancock State Prison	State	Hancock County	GA	13141	1329	1221	1220
Hancock County Jail	Local	Hancock County	GA	13141	28	1222	1221
Haralson County Jail	Local	Haralson County	GA	13143	99	1223	1222
Harris County Jail	Local	Harris County	GA	13145	106	1224	1223
Harris County Prison Camp	Local	Harris County	GA	13145	90	1225	1224
Hart County Jail	Local	Hart County	GA	13147	41	1226	1225
Bobby Joe Whitworth Probation Detention Center	State	Hart County	GA	13147	420	1227	1226
Heard County Jail	Local	Heard County	GA	13149	57	1228	1227
Henry County Jail	Local	Henry County	GA	13151	675	1229	1228
Unlisted	Unlisted	Houston County	GA	13153	15	1230	1229
Mcever Probation Detention Center	State	Houston County	GA	13153	162	1231	1230
Houston County Jail	Local	Houston County	GA	13153	476	1232	1231
Irwin County Jail	Local	Irwin County	GA	13155	534	1233	1232
Jackson County Correctional Institution	Local	Jackson County	GA	13157	168	1234	1233
Jackson County Jail	Local	Jackson County	GA	13157	177	1235	1234
Jasper County Jail	Local	Jasper County	GA	13159	40	1236	1235
Jeff Davis County Jail	Local	Jeff Davis County	GA	13161	44	1237	1236
Jefferson County Correctional Institution	Local	Jefferson County	GA	13163	179	1238	1237
Jefferson County Jail	Local	Jefferson County	GA	13163	84	1239	1238
Johnson State Prison	State	Johnson County	GA	13167	1562	1240	1239
Johnson County Jail	Local	Johnson County	GA	13167	38	1241	1240
Jones County Jail	Local	Jones County	GA	13169	157	1242	1241
Lamar Pre-Release Center	State	Lamar County	GA	13171	203	1243	1242
Lamar County Jail	Local	Lamar County	GA	13171	93	1244	1243
Lanier County Jail	Local	Lanier County	GA	13173	208	1245	1244
Laurens County Jail	Local	Laurens County	GA	13175	198	1246	1245
Central Probation Detention Central	State	Laurens County	GA	13175	184	1247	1246
Lee Arrendale Transitional Center	State	Lee County	GA	13177	63	1248	1247
Lee Arrendale State Prison	State	Lee County	GA	13177	638	1249	1248
Liberty County Jail	Local	Liberty County	GA	13179	250	1250	1249
Lincoln County Jail	Local	Lincoln County	GA	13181	58	1251	1250
Ludowici City Jail	Local	Long County	GA	13183	227	1252	1251
Moody Air Force Base Jail	Military	Lowndes County	GA	13185	72	1253	1252
Valdosta Correctional Institute	State	Lowndes County	GA	13185	1461	1254	1253
Lowndes County Jail	Local	Lowndes County	GA	13185	638	1255	1254
Lowndes County Jail	Local	Lowndes County	GA	13185	102	1256	1255
Lumpkin County Jail	Local	Lumpkin County	GA	13187	120	1257	1256
Unlisted	Unlisted	McDuffie County	GA	13189	134	1258	1257
Mcduffie County Jail	Local	McDuffie County	GA	13189	148	1259	1258
Mcintosh County Jail	Local	McIntosh County	GA	13191	71	1260	1259
Macon State Prison	State	Macon County	GA	13193	1743	1261	1260
Macon County Jail	Local	Macon County	GA	13193	32	1262	1261
Madison County Jail	Local	Madison County	GA	13195	46	1263	1262
Marion County Jail	Local	Marion County	GA	13197	26	1264	1263
Miller County Jail	Local	Miller County	GA	13201	59	1265	1264
Unlisted	Unlisted	Mitchell County	GA	13205	46	1266	1265
Mitchell County Jail	Local	Mitchell County	GA	13205	23	1267	1266
Unlisted	Unlisted	Mitchell County	GA	13205	136	1268	1267
Mitchell County Correctional Institution	Local	Mitchell County	GA	13205	80	1269	1268
Jimmy Autry Correctional Institution	State	Mitchell County	GA	13205	1651	1270	1269
Pelham Municipal Jail	Local	Mitchell County	GA	13205	20	1271	1270
Burruss Boot Camp	State	Monroe County	GA	13207	200	1272	1271
Monroe County Jail	Local	Monroe County	GA	13207	143	1273	1272
Burruss Correctional Training Center	State	Monroe County	GA	13207	580	1274	1273
Montgomery Correctional Institution	State	Montgomery County	GA	13209	408	1275	1274
Morgan County Detention Center	Local	Morgan County	GA	13211	70	1276	1275
Murray County Jail	Local	Murray County	GA	13213	134	1277	1276
Muscogee County Jail	Local	Muscogee County	GA	13215	953	1278	1277
Unlisted	Unlisted	Muscogee County	GA	13215	5	1279	1278
Muscogee County Prison and Rutledge State Prison	"State,Local"	Muscogee County	GA	13215	1357	1280	1279
Newton County Jail	Local	Newton County	GA	13217	618	1281	1280
Unlisted	Unlisted	Newton County	GA	13217	3	1282	1281
Newton County Courthouse	Local	Newton County	GA	13217	32	1283	1282
Oconee County Jail	Local	Oconee County	GA	13219	32	1284	1283
Oglethorpe County Jail	Local	Oglethorpe County	GA	13221	57	1285	1284
Paulding Probation Detention Center	State	Paulding County	GA	13223	137	1286	1285
Paulding County Detention Center	Local	Paulding County	GA	13223	234	1287	1286
Pickens County Jail	Local	Pickens County	GA	13227	104	1288	1287
Pierce County Jail	Local	Pierce County	GA	13229	45	1289	1288
Pike County Jail	Local	Pike County	GA	13231	26	1290	1289
West Central Probation Detention Center	State	Pike County	GA	13231	186	1291	1290
Polk County Jail	Local	Polk County	GA	13233	127	1292	1291
Pulaski State Prison	State	Pulaski County	GA	13235	1149	1293	1292
Putnam County Jail	Local	Putnam County	GA	13237	86	1294	1293
Rabun County Jail	Local	Rabun County	GA	13241	67	1295	1294
Randolph County Jail	Local	Randolph County	GA	13243	34	1296	1295
Unlisted	Unlisted	Richmond County	GA	13245	202	1297	1296
Augusta-Richmond County	Local	Richmond County	GA	13245	378	1298	1297
Augusta Medical Corr Instit	State	Richmond County	GA	13245	1099	1299	1298
Webster Detention Center	Local	Richmond County	GA	13245	516	1300	1299
Unlisted	Unlisted	Richmond County	GA	13245	209	1301	1300
Unlisted	Unlisted	Richmond County	GA	13245	1	1302	1301
Rockdale County Jail	Local	Rockdale County	GA	13247	495	1303	1302
Screven County Jail	Local	Screven County	GA	13251	142	1304	1303
Seminole County Jail	Local	Seminole County	GA	13253	28	1305	1304
Spalding County Jail	Local	Spalding County	GA	13255	380	1306	1305
Spalding County Correctional Institution	Local	Spalding County	GA	13255	378	1307	1306
Unlisted	Unlisted	Stephens County	GA	13257	2	1308	1307
Stewart Detention Center	Federal	Stewart County	GA	13259	1596	1309	1308
Sumter County Correctional Institution	Local	Sumter County	GA	13261	543	1310	1309
Talbot County Jail	Local	Talbot County	GA	13263	17	1311	1310
Unlisted	Unlisted	Tattnall County	GA	13267	1478	1312	1311
Rogers State Prison	State	Tattnall County	GA	13267	670	1313	1312
Unlisted	Unlisted	Tattnall County	GA	13267	872	1314	1313
Unlisted	Unlisted	Tattnall County	GA	13267	1604	1315	1314
Western Probation Detention Center	State	Taylor County	GA	13269	211	1316	1315
Taylor County Jail	Local	Taylor County	GA	13269	20	1317	1316
Telfair State Prison	State	Telfair County	GA	13271	1146	1318	1317
Telfair County Jail	Local	Telfair County	GA	13271	27	1319	1318
Mcrae Correctional Institute	Private	Telfair County	GA	13271	1744	1320	1319
Terrell Detention Center	State	Terrell County	GA	13273	186	1321	1320
Thomas County Prison	Local	Thomas County	GA	13275	181	1322	1321
Tift County Jail	Local	Tift County	GA	13277	202	1323	1322
Towns County Detention Center	Local	Towns County	GA	13281	38	1324	1323
Treutlen County Jail	Local	Treutlen County	GA	13283	23	1325	1324
Treutlen Boot Camp	State	Treutlen County	GA	13283	278	1326	1325
Lagrange Transitional Center	State	Troup County	GA	13285	154	1327	1326
Troup County Correctional Institution	Local	Troup County	GA	13285	795	1328	1327
Turner County Jail	Local	Turner County	GA	13287	37	1329	1328
Turner Pre-Release Center	State	Turner County	GA	13287	212	1330	1329
Carlton Colwell Probation Detention Center	State	Union County	GA	13291	173	1331	1330
Union County Jail	Local	Union County	GA	13291	57	1332	1331
Upson County Jail	Local	Upson County	GA	13293	194	1333	1332
Walker Correctional Institution	State	Walker County	GA	13295	616	1334	1333
Walker County Jail	Local	Walker County	GA	13295	201	1335	1334
Walton County Jail	Local	Walton County	GA	13297	447	1336	1335
Ware County Jail	Local	Ware County	GA	13299	368	1337	1336
Unlisted	Unlisted	Ware County	GA	13299	29	1338	1337
Ware State Prison	State	Ware County	GA	13299	1529	1339	1338
Washington County Jail	Local	Washington County	GA	13303	69	1340	1339
Washington Corr. Institution	State	Washington County	GA	13303	1555	1341	1340
Wayne County Correction Facility	Local	Wayne County	GA	13305	124	1342	1341
FCI Jesup	Federal	Wayne County	GA	13305	1943	1343	1342
Wheeler Correctional Facility	Private	Wheeler County	GA	13309	1911	1344	1343
White County Jail	Local	White County	GA	13311	62	1345	1344
Whitfield County Jail	Local	Whitfield County	GA	13313	374	1346	1345
Wilcox County Jail	Local	Wilcox County	GA	13315	18	1347	1346
Wilcox State Prison	State	Wilcox County	GA	13315	1829	1348	1347
Wilkes Pre-Release Center	State	Wilkes County	GA	13317	215	1349	1348
Cecil A Moore Law Enforcement Center	Local	Wilkes County	GA	13317	51	1350	1349
Wilkinson County Jail	Local	Wilkinson County	GA	13319	39	1351	1350
Worth County Jail	Local	Worth County	GA	13321	26	1352	1351
Unlisted	Unlisted	Hawaii County	HI	15001	262	1353	1352
Unlisted	Unlisted	Hawaii County	HI	15001	478	1354	1353
Unlisted	Unlisted	Hawaii County	HI	15001	5	1355	1354
Unlisted	Unlisted	Honolulu County	HI	15003	72	1356	1355
Unlisted	Unlisted	Honolulu County	HI	15003	103	1357	1356
Oahu Comm Corr Center	State	Honolulu County	HI	15003	1461	1358	1357
Unlisted	Unlisted	Honolulu County	HI	15003	27	1359	1358
Halawa Correctional Facility	State	Honolulu County	HI	15003	928	1360	1359
Unlisted	Unlisted	Honolulu County	HI	15003	5	1361	1360
Unlisted	Unlisted	Honolulu County	HI	15003	6	1362	1361
Unlisted	Unlisted	Honolulu County	HI	15003	275	1363	1362
Unlisted	Unlisted	Honolulu County	HI	15003	12	1364	1363
Women's Comm. Corr. Center	State	Honolulu County	HI	15003	313	1365	1364
Unlisted	Unlisted	Honolulu County	HI	15003	704	1366	1365
Unlisted	Unlisted	Kauai County	HI	15007	1	1367	1366
Kauai Com Correct Center	State	Kauai County	HI	15007	289	1368	1367
Maui Com Correct Center	State	Maui County	HI	15009	732	1369	1368
East Boise Community Work Center	State	Ada County	ID	16001	199	1370	1369
Ada County Jail	Local	Ada County	ID	16001	935	1371	1370
Unlisted	Unlisted	Ada County	ID	16001	28	1372	1371
Unlisted	Unlisted	Ada County	ID	16001	69	1373	1372
South Idaho Correctional Institution Community Work Center	State	Ada County	ID	16001	100	1374	1373
"South Boise Women's Correctional Center, South Idaho Correctional Institution"	State	Ada County	ID	16001	929	1375	1374
"Idaho State Correctional Institution, Idaho Maximum Security Institution"	State	Ada County	ID	16001	2118	1376	1375
Idaho Correctional Center (CCA)	"State,Private"	Ada County	ID	16001	2023	1377	1376
Adams County Jail	Local	Adams County	ID	16003	19	1378	1377
Bannock County Jail	Local	Bannock County	ID	16005	254	1379	1378
Pocatello Women's Correctional Center	State	Bannock County	ID	16005	303	1380	1379
Benewah County Jail	Local	Benewah County	ID	16009	5	1381	1380
Bingham County Jail	Local	Bingham County	ID	16011	115	1382	1381
Bonner County Jail	Local	Bonner County	ID	16017	95	1383	1382
Bonneville County Jail	Local	Bonneville County	ID	16019	245	1384	1383
Idaho Falls Community Work Center	State	Bonneville County	ID	16019	83	1385	1384
Boundary County Jail	Local	Boundary County	ID	16021	20	1386	1385
Butte County Jail	Local	Butte County	ID	16023	2	1387	1386
Nampa Community Work Center	State	Canyon County	ID	16027	83	1388	1387
Canyon County Jail	Local	Canyon County	ID	16027	719	1389	1388
Caribou County Jail	Local	Caribou County	ID	16029	47	1390	1389
Cassia County Jail	Local	Cassia County	ID	16031	134	1391	1390
Idaho Correctional Institution- Orofino	State	Clearwater County	ID	16035	531	1392	1391
Clearwater County Jail	Local	Clearwater County	ID	16035	14	1393	1392
Custer County Jail	Local	Custer County	ID	16037	9	1394	1393
Elmore County Jail	Local	Elmore County	ID	16039	94	1395	1394
Fremont County Jail	Local	Fremont County	ID	16043	14	1396	1395
St. Anthony Work Camp	State	Fremont County	ID	16043	239	1397	1396
Gem County Jail	Local	Gem County	ID	16045	47	1398	1397
Gooding County Jail	Local	Gooding County	ID	16047	34	1399	1398
Gooding County Jail Annex	Local	Gooding County	ID	16047	1	1400	1399
North Idaho Correctional Institution	State	Idaho County	ID	16049	414	1401	1400
Jefferson County Jail	Local	Jefferson County	ID	16051	80	1402	1401
Jerome County Jail	Local	Jerome County	ID	16053	54	1403	1402
Kootenai County Work Release Center	Local	Kootenai County	ID	16055	16	1404	1403
Kootenai County Jail	Local	Kootenai County	ID	16055	327	1405	1404
Latah County Jail	Local	Latah County	ID	16057	23	1406	1405
Unlisted	Unlisted	Latah County	ID	16057	33	1407	1406
Unlisted	Unlisted	Latah County	ID	16057	28	1408	1407
Lemhi County Jail	Local	Lemhi County	ID	16059	9	1409	1408
Lewis County Jail	Local	Lewis County	ID	16061	15	1410	1409
Madison County Jail	Local	Madison County	ID	16065	83	1411	1410
Nez Perce County Jail	Local	Nez Perce County	ID	16069	108	1412	1411
Owyhee County Jail	Local	Owyhee County	ID	16073	28	1413	1412
Unlisted	Unlisted	Owyhee County	ID	16073	5	1414	1413
Payette County Jail	Local	Payette County	ID	16075	55	1415	1414
Power County Jail	Local	Power County	ID	16077	20	1416	1415
Shoshone County Jail	Local	Shoshone County	ID	16079	60	1417	1416
Unlisted	Unlisted	Twin Falls County	ID	16083	13	1418	1417
Unlisted	Unlisted	Twin Falls County	ID	16083	11	1419	1418
Twin Falls County Jail	Local	Twin Falls County	ID	16083	236	1420	1419
Idaho Department of Correction District 5	State	Twin Falls County	ID	16083	82	1421	1420
Valley County Jail	Local	Valley County	ID	16085	23	1422	1421
Washington County Jail	Local	Washington County	ID	16087	44	1423	1422
Adams County Jail	Local	Adams County	IL	17001	110	1424	1423
Tamms Correctional Center	State	Alexander County	IL	17003	411	1425	1424
Bond County Jail	Local	Bond County	IL	17005	6	1426	1425
FCI Greenville	Federal	Bond County	IL	17005	1536	1427	1426
Boone County Jail	Local	Boone County	IL	17007	71	1428	1427
Western Illinois Correctional Center	State	Brown County	IL	17009	2059	1429	1428
Bureau County Jail	Local	Bureau County	IL	17011	18	1430	1429
Calhoun County Jail	Unlisted	Calhoun County	IL	17013	2	1431	1430
Carroll County Jail	Local	Carroll County	IL	17015	22	1432	1431
Thomson Prison	State	Carroll County	IL	17015	30	1433	1432
Champaign County Correctional Center	Local	Champaign County	IL	17019	168	1434	1433
Unlisted	Unlisted	Champaign County	IL	17019	10	1435	1434
Champaign County Jail	Local	Champaign County	IL	17019	67	1436	1435
Christian County Jail	Local	Christian County	IL	17021	43	1437	1436
Taylorville Correctional Center	State	Christian County	IL	17021	1204	1438	1437
Clark County Jail	Local	Clark County	IL	17023	6	1439	1438
Clay County Jail	Local	Clay County	IL	17025	6	1440	1439
Clinton County Jail	Local	Clinton County	IL	17027	52	1441	1440
Centralia Correctional Center	State	Clinton County	IL	17027	1547	1442	1441
Coles County Jail	Local	Coles County	IL	17029	105	1443	1442
Unlisted	Unlisted	Cook County	IL	17031	1	1444	1443
Unlisted	Unlisted	Cook County	IL	17031	53	1445	1444
Unlisted	Unlisted	Cook County	IL	17031	1	1446	1445
Unlisted	Unlisted	Cook County	IL	17031	126	1447	1446
Unlisted	Unlisted	Cook County	IL	17031	3	1448	1447
Unlisted	Unlisted	Cook County	IL	17031	2	1449	1448
Unlisted	Unlisted	Cook County	IL	17031	31	1450	1449
Unlisted	Unlisted	Cook County	IL	17031	182	1451	1450
Crossroads Adult Transitional Center	Private	Cook County	IL	17031	323	1452	1451
West Side Adult Transitional Center	State	Cook County	IL	17031	155	1453	1452
North Lawndale ATC	Private	Cook County	IL	17031	204	1454	1453
Chicago MMC	Federal	Cook County	IL	17031	609	1455	1454
Unlisted	Unlisted	Cook County	IL	17031	163	1456	1455
Cook County Jail	Local	Cook County	IL	17031	9796	1457	1456
Crawford County Jail	Local	Crawford County	IL	17033	23	1458	1457
Robinson Correctional Center	State	Crawford County	IL	17033	1207	1459	1458
Cumberland County Jail	Local	Cumberland County	IL	17035	5	1460	1459
De Kalb County Jail	Local	DeKalb County	IL	17037	122	1461	1460
Dewitt County Jail	Local	De Witt County	IL	17039	76	1462	1461
Douglas County Jail	Local	Douglas County	IL	17041	16	1463	1462
Du Page County Jail	Local	DuPage County	IL	17043	786	1464	1463
Unlisted	Unlisted	DuPage County	IL	17043	86	1465	1464
Edgar County Jail	Local	Edgar County	IL	17045	33	1466	1465
Effingham County Jail	Local	Effingham County	IL	17049	66	1467	1466
Vandalia Correctional Center	State	Fayette County	IL	17051	1485	1468	1467
Fayette County Jail	Local	Fayette County	IL	17051	42	1469	1468
Ford County Correctional Facility	Local	Ford County	IL	17053	43	1470	1469
Franklin County Jail	Local	Franklin County	IL	17055	52	1471	1470
Illinois River Correctional Center	State	Fulton County	IL	17057	2069	1472	1471
Fulton County Jail	Local	Fulton County	IL	17057	73	1473	1472
Greene County Work Camp	State	Greene County	IL	17061	193	1474	1473
Greene County Jail	Local	Greene County	IL	17061	10	1475	1474
Grundy County Jail	Local	Grundy County	IL	17063	26	1476	1475
Hancock County Jail	Local	Hancock County	IL	17067	10	1477	1476
Henry County Jail	Local	Henry County	IL	17073	96	1478	1477
Illinois Youth Center Kewanee	State	Henry County	IL	17073	205	1479	1478
Iroquois County Jail	Local	Iroquois County	IL	17075	20	1480	1479
Jackson County Jail	Local	Jackson County	IL	17077	85	1481	1480
Southern Illinois Adult Transitional Center	State	Jackson County	IL	17077	62	1482	1481
Jasper County Jail	Local	Jasper County	IL	17079	4	1483	1482
Big Muddy River Correctional Center	State	Jefferson County	IL	17081	1844	1484	1483
Jefferson County Justice Center	Local	Jefferson County	IL	17081	13	1485	1484
Jersey County Jail	Local	Jersey County	IL	17083	20	1486	1485
Joe Daviess County Jail	Local	Jo Daviess County	IL	17085	13	1487	1486
Shawnee Correctional Center	State	Johnson County	IL	17087	961	1488	1487
Shawnee Correctional Center	State	Johnson County	IL	17087	542	1489	1488
Kane County Jail	Local	Kane County	IL	17089	644	1490	1489
Unlisted	Unlisted	Kane County	IL	17089	134	1491	1490
Fox Valley ATC	State	Kane County	IL	17089	123	1492	1491
Kankakee Minimum Security	State	Kankakee County	IL	17091	93	1493	1492
Kankakee County Jail	Local	Kankakee County	IL	17091	158	1494	1493
Jerome Combs Detention Center	Local	Kankakee County	IL	17091	429	1495	1494
Kendall County Jail	Local	Kendall County	IL	17093	61	1496	1495
Hill Correctional Center	State	Knox County	IL	17095	1844	1497	1496
Knox County Jail	Local	Knox County	IL	17095	90	1498	1497
Lake County Jail	Local	Lake County	IL	17097	701	1499	1498
Naval Pre-Trial Confinement Facility	Military	Lake County	IL	17097	3	1500	1499
Sheridan Correctional Center	State	LaSalle County	IL	17099	1340	1501	1500
LaSalle County Jail	Local	LaSalle County	IL	17099	176	1502	1501
Lawrence Correctional Center	State	Lawrence County	IL	17101	2358	1503	1502
Lee County Jail	Local	Lee County	IL	17103	40	1504	1503
Dixon Correctional Center	State	Lee County	IL	17103	2249	1505	1504
Dwight Correctional Center	State	Livingston County	IL	17105	1106	1506	1505
Pontiac Correctional Center	State	Livingston County	IL	17105	1665	1507	1506
Livingston County Jail	Local	Livingston County	IL	17105	23	1508	1507
Unlisted	Unlisted	Livingston County	IL	17105	4	1509	1508
Logan County Jail Safety Complex	Local	Logan County	IL	17107	28	1510	1509
Lincoln and Logan Correctional Centers	State	Logan County	IL	17107	3032	1511	1510
McHenry County Adult Corrections Facility	Local	McHenry County	IL	17111	537	1512	1511
McLean County Detention Facility	Local	McLean County	IL	17113	235	1513	1512
Decatur ATC	State	Macon County	IL	17115	112	1514	1513
Decatur Correctional Center	State	Macon County	IL	17115	501	1515	1514
Macon County Jail	Local	Macon County	IL	17115	238	1516	1515
Macoupin County Jail	Local	Macoupin County	IL	17117	17	1517	1516
Unlisted	Unlisted	Madison County	IL	17119	14	1518	1517
Marion County Jail	Local	Marion County	IL	17121	114	1519	1518
Marshall County Jail	Local	Marshall County	IL	17123	7	1520	1519
Mason County Jail	Local	Mason County	IL	17125	40	1521	1520
Menard County Jail	Local	Menard County	IL	17129	15	1522	1521
Mercer County Jail	Local	Mercer County	IL	17131	40	1523	1522
Montgomery County Jail	Local	Montgomery County	IL	17135	25	1524	1523
Graham Correctional Center	State	Montgomery County	IL	17135	1894	1525	1524
Morgan County Jail	Local	Morgan County	IL	17137	35	1526	1525
Jacksonville Correctional Center	State	Morgan County	IL	17137	996	1527	1526
Moultrie County Jail	Local	Moultrie County	IL	17139	30	1528	1527
Ogle County Jail	Local	Ogle County	IL	17141	81	1529	1528
Peoria Adult Transitional Center	State	Peoria County	IL	17143	200	1530	1529
Peoria County Jail	Local	Peoria County	IL	17143	436	1531	1530
Pinckneyville Correctional Center	State	Perry County	IL	17145	2280	1532	1531
Perry County Jail	Local	Perry County	IL	17145	43	1533	1532
Pittsfield Work Camp	State	Pike County	IL	17149	384	1534	1533
Pike County Jail	Local	Pike County	IL	17149	40	1535	1534
Dixon Springs Impact Incarceration Program	State	Pope County	IL	17151	173	1536	1535
Tri-Co Detention Justice Center - G.W.I. Corp.	Private	Pulaski County	IL	17153	6	1537	1536
Putnam County Jail	Local	Putnam County	IL	17155	2	1538	1537
Menard Correctional Cente	State	Randolph County	IL	17157	3122	1539	1538
Menard Correctional Cente	State	Randolph County	IL	17157	449	1540	1539
Richland County Jail	Local	Richland County	IL	17159	29	1541	1540
East Moline Correctional Center	State	Rock Island County	IL	17161	1121	1542	1541
Rock Island County Jail	Local	Rock Island County	IL	17161	232	1543	1542
Unlisted	Unlisted	Rock Island County	IL	17161	1	1544	1543
Unlisted	Unlisted	St. Clair County	IL	17163	19	1545	1544
St. Clair County Jail	Local	St. Clair County	IL	17163	386	1546	1545
Southwestern Illinois Correctional Center	State	St. Clair County	IL	17163	701	1547	1546
Saline County Law Enforcement and Detention Center	Local	Saline County	IL	17165	69	1548	1547
Springfield Work Camp	State	Sangamon County	IL	17167	15	1549	1548
Sangamon County Jail	Local	Sangamon County	IL	17167	295	1550	1549
Schuyler County Jail	Local	Schuyler County	IL	17169	10	1551	1550
Shelby County Jail	Local	Shelby County	IL	17173	8	1552	1551
Stark County Sheriff's Office	Local	Stark County	IL	17175	2	1553	1552
Stephenson County Jail	Local	Stephenson County	IL	17177	108	1554	1553
"FCI Pekin, IL and Camp"	Federal	Tazewell County	IL	17179	1652	1555	1554
Vermilion County Jail	Local	Vermilion County	IL	17183	245	1556	1555
Danville Correctional Center	State	Vermilion County	IL	17183	1839	1557	1556
Warren County Jail	Local	Warren County	IL	17187	17	1558	1557
Washington County Jail	Local	Washington County	IL	17189	18	1559	1558
Wayne County Jail	Local	Wayne County	IL	17191	2	1560	1559
White County Jail	Local	White County	IL	17193	72	1561	1560
Whiteside County Jail	Local	Whiteside County	IL	17195	88	1562	1561
Will County Adult Detention Facility	Local	Will County	IL	17197	742	1563	1562
Stateville Correctional Center	State	Will County	IL	17197	3160	1564	1563
Williamson County Jail	Local	Williamson County	IL	17199	207	1565	1564
USP Marion	Federal	Williamson County	IL	17199	1006	1566	1565
Winnebago County Jail	Local	Winnebago County	IL	17201	963	1567	1566
Woodford County Jail	Local	Woodford County	IL	17203	44	1568	1567
Adams County Jail	Local	Adams County	IN	18001	93	1569	1568
Allen County Jail	Local	Allen County	IN	18003	774	1570	1569
Unlisted	Unlisted	Allen County	IN	18003	6	1571	1570
Unlisted	Unlisted	Allen County	IN	18003	7	1572	1571
Unlisted	Unlisted	Allen County	IN	18003	11	1573	1572
Allen County Work Release	Local	Allen County	IN	18003	73	1574	1573
Unlisted	Unlisted	Allen County	IN	18003	48	1575	1574
Unlisted	Unlisted	Allen County	IN	18003	3	1576	1575
