Name,Near Location,State,FIPS,Type of Facility,Listed Capacity,Max Capacity
St Johns County Jail,St. Johns County,Florida,12109,Local,1044,5792
St Lucie County Main Jail,St. Lucie County,Florida,12111,Local,2189,4568
Unlisted - St. Lucie County,St. Lucie County,Florida,12111,Unlisted,502,2351
Berrydale Forestry Camp,Santa Rosa County,Florida,12113,State,2537,5846
Blackwater River Correctional Facility,Santa Rosa County,Florida,12113,Private,1798,5244
Santa Rosa Correctional Institution,Santa Rosa County,Florida,12113,State,1138,4123
Santa Rosa Correctional Annex,Santa Rosa County,Florida,12113,State,1988,3837
Santa Rosa Women's Correctional Institution,Santa Rosa County,Florida,12113,State,1550,5932
Santa Rosa County Jail,Santa Rosa County,Florida,12113,Local,1882,3331
Sarasota County Jail,Sarasota County,Florida,12115,Local,741,3584
Seminole County Correctional Facility,Seminole County,Florida,12117,Local,1802,139
Coleman Federal Correction Center,Sumter County,Florida,12119,Federal,381,2628
Federal Correctional Complex ,Sumter County,Florida,12119,Federal,190,1559
Federal Correctional Institution ,Sumter County,Florida,12119,Federal,1772,4432
Sumter Corrrectional Work Camp,Sumter County,Florida,12119,State,2444,3103
Sumter Correctional Institution,Sumter County,Florida,12119,State,2494,5603
Sumter County Detention Center,Sumter County,Florida,12119,Local,969,2005
United States Penitentiary ,Sumter County,Florida,12119,Federal,125,1908
Suwanee Correctional Institution,Suwannee County,Florida,12121,State,2515,2245
Suwanee County Jail,Suwannee County,Florida,12121,Local,2226,4412
Suwannee Correctional Annex,Suwannee County,Florida,12121,State,1651,840
Taylor Correctional Annex,Taylor County,Florida,12123,State,2326,1597
Taylor Correctional Institution,Taylor County,Florida,12123,State,158,447
Taylor Correctional Institution Annex,Taylor County,Florida,12123,State,1162,5635
Taylor County Jail,Taylor County,Florida,12123,Local,1481,1812
Unlisted - Taylor County,Taylor County,Florida,12123,Unlisted,1839,5336
North Florida Reception Center,Union County,Florida,12125,State,2394,1681
Reception and Medical Center - East Unit,Union County,Florida,12125,State,277,3621
Reception and Medical Center - West Unit,Union County,Florida,12125,State,633,4351
Union Correctional Institution,Union County,Florida,12125,State,1344,5677
Union County Jail,Union County,Florida,12125,Local,73,28
Unlisted - Union County,Union County,Florida,12125,Unlisted,790,597
Volusia Correctional Institution,Volusia County,Florida,12125,State,1061,1638
Daytona Beach Work Release Center,Volusia County,Florida,12127,State,1864,2981
Reality House,Volusia County,Florida,12127,Private,1612,5083
Tomoka Correctional Institution,Volusia County,Florida,12127,State,958,2242
Tomoka Correctional Work Camp,Volusia County,Florida,12127,State,349,3496
Unlisted - Volusia County,Volusia County,Florida,12127,Unlisted,2380,5409
Volusia County Jail,Volusia County,Florida,12127,Local,1063,1127
Wakulla Correctional Institution,Wakulla County,Florida,12129,State,207,5077
Wakulla Correctional Work Camp,Wakulla County,Florida,12129,State,164,339
Wakulla Correctional Annex,Wakulla County,Florida,12129,Federal,2324,500
Wakulla County Jail,Wakulla County,Florida,12129,Local,914,3422
Walton Correctional Institution,Walton County,Florida,12131,State,2527,4952
Walton Correctional Work camp,Walton County,Florida,12131,State,1469,119
Caryville Work Camp,Washington County,Florida,12133,State,367,2087
Northwest Florida Reception Center,Washington County,Florida,12133,State,171,2241
Northwest Florida Reception Annex,Washington County,Florida,12133,State,1511,2719
Washington County Jail,Washington County,Florida,12133,Local,927,313
Appling County Sheriff's Dept,Appling County,Georgia,13001,Local,1728,2006
Appling Pre-Release Center,Appling County,Georgia,13001,State,1557,956
Atkinson County Jail,Atkinson County,Georgia,13003,Local,775,153
Bacon County Jail,Bacon County,Georgia,13005,Local,20,4473
Bacon Probation Detention Center,Bacon County,Georgia,13005,Unlisted,1239,3584
Baldwin Women's State Prison,Baldwin County,Georgia,13009,State,711,4445
Baldwin Men's State Prison,Baldwin County,Georgia,13009,State,344,1056
Bostick State Prison,Baldwin County,Georgia,13009,State,1417,2770
Men's Correctional State Prison,Baldwin County,Georgia,13009,State,560,4148
Riverbend Correctional Facility,Baldwin County,Georgia,13009,Private,1291,434
Bartow County Jail,Bartow County,Georgia,13015,Local,51,3066
Ben Hill County Jail,Ben Hill County,Georgia,13017,Local,862,3266
Berrien County Jail,Berrien County,Georgia,13019,Local,1736,4166
Bibb county Law Enforcement Center,Bibb County,Georgia,13021,Local,2168,4325
Central State Prison - Bibb County,Bibb County,Georgia,13021,State,277,3188
Dismas House of Macon,Bibb County,Georgia,13021,Private,192,272
Macon Diversity Center,Bibb County,Georgia,13021,State,2641,4371
Bleckley County Jail,Bleckley County,Georgia,13023,Local,2111,1683
Bleckley County Probations Center,Bleckley County,Georgia,13023,Local,2423,2716
Bulloch County Correctional Institution,Bulloch County,Georgia,13031,County,801,2267
Bulloch County Jail,Bulloch County,Georgia,13031,Local,901,948
Burke County Jail,Burke County,Georgia,13033,Local,1781,3852
Butts County Detention Center,Butts County,Georgia,13035,Local,357,2375
Diagnostic and Classification Center,Butts County,Georgia,13035,State,1182,1057
Georgia Diagnostic State Prison,Butts County,Georgia,13035,State,2649,1337
Jackson City Jail,Butts County,Georgia,13035,Local,1669,3380
Special Management Unit ,Butts County,Georgia,13035,State,1856,1278
Calhoun County Jail,Calhoun County,Georgia,13037,Local,519,1308
Calhoun State Prison,Calhoun County,Georgia,13037,State,1378,3302
Camden County Public Safety Facility,Camden County,Georgia,13039,Local,799,1749
Unlisted - Camden County,Camden County,Georgia,13039,Unlisted,1998,2350
Candler County Jail,Candler County,Georgia,13043,Local,794,3286
Carroll County Correctional Institute,Candler County,Georgia,13045,County,916,1905
Carroll County Jail,Candler County,Georgia,13045,Local,1293,4404
Catoosa County Jail,Catoosa County,Georgia,13047,Local,1027,2088
Folkston Annex,Charlton County,Georgia,13049,State,1721,3995
D. Ray James Correctional Institution,Charlton County,Georgia,13049,Private,1486,872
D. Ray James Prison,Charlton County,Georgia,13049,Unlisted,2462,2077
Folkston Correctional Institution,Charlton County,Georgia,13049,State,2457,2287
Chatham County Adult Detention Center,Chatham County,Georgia,13051,Local,2086,1529
Coastal Women's State Prison,Chatham County,Georgia,13051,State,1223,4237
Coastal Men's State Prison,Chatham County,Georgia,13051,State,1460,2122
Coastal Youth Transitional Center,Chatham County,Georgia,13051,State,1823,2521
Coastal Transitional Center,Chatham County,Georgia,13051,State,1639,3280
Chattooga County Jail,Chattooga County,Georgia,13055,Local,1574,3638
Hays State Prison,Chattooga County,Georgia,13055,State,932,3950
Cherokee County Jail,Cherokee County,Georgia,13057,Local,2196,4131
Unlisted - Cherokee County,Cherokee County,Georgia,13057,Unlisted,1041,1243
Athens-Clarke County Correctional Institution,Clarke County,Georgia,13059,County,943,3353
Clarke County Jail,Clarke County,Georgia,13059,Local,1097,143
Clayton County Jail,Clayton County,Georgia,13063,Local,715,654
Clayton County Prison,Clayton County,Georgia,13063,Local,2362,2018
Clayton Diversion Center,Clayton County,Georgia,13063,State,1355,3210
Robert A. Dayton Detention Facility,Clayton County,Georgia,13063,Federal,1155,2351
Clayton Transitional Center ,Clayton County,Georgia,13063,State,955,4123
Clinch County Jail,Clinch County,Georgia,13065,Local,332,3837
Acworth City Jail,Cobb County,Georgia,13067,Local,2248,3331
Cobb County Sheriff's Prison Unit,Cobb County,Georgia,13067,Local,539,3584
Cobb County Jail,Cobb County,Georgia,13067,Local,944,139
Cobb County Work Release Center,Cobb County,Georgia,13067,State,807,2628
Kennesaw City Jail,Cobb County,Georgia,13067,Local,2524,1559
Smyrna City Jail,Cobb County,Georgia,13067,Local,374,4432
Unlisted - Cobb County,Cobb County,Georgia,13067,Unlisted,1441,3103
Coffee Men's Correctional Facility,Coffee County,Georgia,13069,Private,1177,2005
Coffee Women's Correctional Facility,Coffee County,Georgia,13069,Private,528,1908
Coffee County Jail,Coffee County,Georgia,13069,Local,1256,2245
Colquitt County Correctional Institution,Colquitt County,Georgia,13071,Local,1560,4412
Colquitt County Jail,Colquitt County,Georgia,13071,Local,1722,840
Colquitt County Prison,Colquitt County,Georgia,13071,County,1993,1597
Augusta State Medical Prison,Columbia County,Georgia,13073,State,59,447
Columbia County Detention Center,Columbia County,Georgia,13073,Local,1804,1812
Coweta County Jail,Coweta County,Georgia,13077,Local,1034,1681
Coweta County Prison,Coweta County,Georgia,13077,County,28,3621
Crawford County Jail,Crawford County,Georgia,13079,Local,1105,4351
Crisp County Jail,Crisp County,Georgia,13081,Local,146,28
Dade County Jail,Dade County,Georgia,13083,Local,381,161
Dawson County Jail,Dawson County,Georgia,13085,Local,1450,2859
Bainbridge Substance Abuse Treatment Center,Decatur County,Georgia,13087,State,1414,4037
Decatur County Correctional Institution,Decatur County,Georgia,13087,Local,2440,3318
Decatur County Jail,Decatur County,Georgia,13087,Local,1486,194
Decatur County Prison,Decatur County,Georgia,13087,County,2610,3840
Atlanta Transitional Center - DeKalb County,DeKalb County,Georgia,13089,State,1004,3468
Dekalb County Jail,DeKalb County,Georgia,13089,Local,1130,3006
Helms Facility,DeKalb County,Georgia,13089,State,626,3987
Metro Regional Youth Detention,DeKalb County,Georgia,13089,State,1622,188
Metro State Prison,DeKalb County,Georgia,13089,State,68,3161
Metro Transitional Center,DeKalb County,Georgia,13089,State,447,465
Unlisted - DeKalb County,DeKalb County,Georgia,13089,Unlisted,2514,3893
Dodge County Jail,Dodge County,Georgia,13091,Local,1876,3823
Dodge State Prison,Dodge County,Georgia,13091,State,2226,1176
Dooly County Jail,Dooly County,Georgia,13093,Local,2137,117
Dooly State Prison,Dooly County,Georgia,13093,State,1890,848
Albany Diversion Center,Dougherty County,Georgia,13095,State,2169,707
Albany Transitional Center,Dougherty County,Georgia,13095,State,1885,351
Dougherty County Jail,Dougherty County,Georgia,13095,Local,884,3436
Douglas County Jail,Douglas County,Georgia,13097,Local,465,827
Unlisted - Douglas County,Douglas County,Georgia,13097,Unlisted,2480,3104
Early County Jail,Early County,Georgia,13099,Local,200,3358
Effingham County Prison,Effingham County,Georgia,13103,County,128,3169
Elbert County Jail,Elbert County,Georgia,13105,Local,461,1970
Emanuel County Jail,Emanuel County,Georgia,13107,Local,423,1668
Emanuel Probation Detention Center,Emanuel County,Georgia,13107,State,710,1625
Emanuel Transitional Center,Emanuel County,Georgia,13107,State,1117,4363
Emanuel Women's Facility,Emanuel County,Georgia,13107,State,1938,3997
Evans County Jail,Evans County,Georgia,13109,Local,1610,1718
Smith Transitional Center,Evans County,Georgia,13109,State,2519,2599
Fannin County Jail,Fannin County,Georgia,13111,Local,1227,4216
Fayette County Jail,Fayette County,Georgia,13113,Local,1467,3963
Floyd County Jail,Floyd County,Georgia,13115,Local,570,4975
Floyd County Prison,Floyd County,Georgia,13115,Local,2049,3500
Forsyth County Jail,Forsyth County,Georgia,13117,Local,822,5828
Unlisted - Forsyth County,Forsyth County,Georgia,13117,Unlisted,1529,2818
Franklin County Jail,Franklin County,Georgia,13119,Local,1898,3506
Alpharetta Jail,Fulton County,Georgia,13121,Local,1118,2629
Atlanta City Jail,Fulton County,Georgia,13121,Local,2532,2209
Atlanta Transitional Center,Fulton County,Georgia,13121,State,562,5265
Atlanta Work Camp,Fulton County,Georgia,13121,Federal,2099,2070
Comprehensive Sanction Center,Fulton County,Georgia,13121,Private,308,5031
East Point City Jail,Fulton County,Georgia,13121,Local,2246,641
Fulton County Jail,Fulton County,Georgia,13121,Local,186,4440
Roswell City Jail,Fulton County,Georgia,13121,Local,1763,5234
United States Penitentiary ,Fulton County,Georgia,13121,Federal,351,1391
Unlisted - Fulton County,Fulton County,Georgia,13121,Unlisted,2334,3621
Gilmer County Jail,Gilmer County,Georgia,13123,Local,120,2890
Glynn County Detention Center,Glynn County,Georgia,13127,Local,1869,6588
Gordon County Jail,Gordon County,Georgia,13129,Local,427,1062
Grady County Detention Center,Grady County,Georgia,13131,Local,317,6192
Greene County Law Enforcement Center,Greene County,Georgia,13133,Local,767,2087
Gwinnett County Jail,Gwinnett County,Georgia,13135,Local,665,1241
Gwinnett County Prison,Gwinnett County,Georgia,13135,County,2472,1760
Phillips State Prison,Gwinnett County,Georgia,13135,State,2300,2871
Phillips Transitional Center,Gwinnett County,Georgia,13135,State,2681,5441
Arrendale State Prison,Habersham County,Georgia,13137,State,176,4857
Arrendale Transitional Center,Habersham County,Georgia,13137,State,673,3045
Habersham County Jail,Habersham County,Georgia,13137,Local,777,3936
Lee Arrendale Corr Inst,Habersham County,Georgia,13137,State,967,3717
Hall County Correctional Institution,Hall County,Georgia,13139,County,1592,5610
Hall County Detention Center,Hall County,Georgia,13139,Local,1485,4081
Hancock County Jail,Hancock County,Georgia,13141,Local,1575,1271
Hancock State Prison,Hancock County,Georgia,13141,State,1593,4800
Haralson County Jail,Haralson County,Georgia,13143,Local,1040,2410
Harris County Jail,Harris County,Georgia,13145,Local,660,933
Harris County Prison,Harris County,Georgia,13145,County,1292,1825
Harris County Prison Camp,Harris County,Georgia,13145,Local,936,403
Bobby Joe Whitworth Probation Detention Center,Hart County,Georgia,13147,State,860,4447
Hart County Jail,Hart County,Georgia,13147,Local,1873,162
Whitworth Women's Facility,Hart County,Georgia,13147,State,875,6753
Heard County Jail,Heard County,Georgia,13149,Local,1140,3599
Henry County Jail,Henry County,Georgia,13151,Local,792,5983
Houston County Jail,Houston County,Georgia,13153,Local,1840,508
Mcever Probation Detention Center,Houston County,Georgia,13153,State,70,2072
Unlisted - Houston County,Houston County,Georgia,13153,Unlisted,1514,6065
Irwin County Detention Center,Irwin County,Georgia,13155,State,704,2614
Irwin County Jail,Irwin County,Georgia,13155,Local,1490,1355
Jackson County Correctional Institution,Jackson County,Georgia,13157,County,1733,4392
Jackson County Jail,Jackson County,Georgia,13157,Local,2270,6655
Jasper County Jail,Jasper County,Georgia,13159,Local,2520,177
Jeff Davis County Jail,Jeff Davis County,Georgia,13161,Local,2205,5675
Jefferson County Correctional Institution,Jefferson County,Georgia,13163,Local,810,5130
Jefferson County Jail,Jefferson County,Georgia,13163,Local,354,1252
Jenkins Correctional Facility,,Georgia,13165,Private,1582,6370
Johnson County Jail,Johnson County,Georgia,13167,Local,1081,3594
Johnson State Prison,Johnson County,Georgia,13167,State,86,4117
Jones County Jail,Jones County,Georgia,13169,Local,2325,4417
Lamar County Jail,Lamar County,Georgia,13171,Local,733,3347
Lamar Pre-Release Center,Lamar County,Georgia,13171,State,1013,6806
Lanier Correctional Annex,Lanier County,Georgia,13173,Local,1792,3856
Central Probation Detention Central,Laurens County,Georgia,13175,State,1950,5135
Laurens County Jail,Laurens County,Georgia,13175,Local,1154,1696
Lee Arrendale State Prison,Lee County,Georgia,13177,State,1697,4099
Lee Arrendale Transitional Center,Lee County,Georgia,13177,State,491,1360
Lee State Prison,Lee County,Georgia,13177,State,846,1155
Liberty County Jail,Liberty County,Georgia,13179,Local,176,1587
Lincoln County Jail,Lincoln County,Georgia,13181,Local,1474,4407
Long Unit,Long County,Georgia,13183,State,1932,5911
Ludowici City Jail,Long County,Georgia,13183,Local,2262,4883
Lowndes County Jail,Lowndes County,Georgia,13185,Local,2360,1812
Moody Air Force Base Jail,Lowndes County,Georgia,13185,Military,581,477
Valdosta Correctional Institute,Lowndes County,Georgia,13185,State,614,5345
Valdosta State Prison,Lowndes County,Georgia,13185,State,1922,519
Valdosta Transitional Center,Lowndes County,Georgia,13185,State,749,5071
Lumpkin County Jail,Lumpkin County,Georgia,13187,Local,2164,5217
Mcduffie County Jail,McDuffie County,Georgia,13189,Local,591,451
Unlisted - McDuffie County,McDuffie County,Georgia,13189,Unlisted,2738,2230
Mcintosh County Jail,McIntosh County,Georgia,13191,Local,1227,665
Central State Prison,Macon County,Georgia,13193,State,1109,2662
Macon County Jail,Macon County,Georgia,13193,Local,1925,198
Macon State Prison,Macon County,Georgia,13193,State,1716,4210
Macon Transitional Center,Macon County,Georgia,13193,State,188,4320
Madison County Jail,Madison County,Georgia,13195,Local,1467,6784
Marion County Jail,Marion County,Georgia,13197,Local,574,3432
Miller County Jail,Miller County,Georgia,13201,Local,500,6760
Jimmy Autry Correctional Institution,Mitchell County,Georgia,13205,State,2639,4313
Jimmy Autry State Prison,Mitchell County,Georgia,13205,State,2551,4368
Mitchell County Correctional Institute,Mitchell County,Georgia,13205,County,75,2690
Mitchell County Jail,Mitchell County,Georgia,13205,Local,2509,3728
Pelham Municipal Jail,Mitchell County,Georgia,13205,Local,329,2061
Unlisted - Mitchell County,Mitchell County,Georgia,13205,Unlisted,479,4535
Burruss Boot Camp,Monroe County,Georgia,13207,State,2334,102
Burruss Correctional Training Center,Monroe County,Georgia,13207,State,799,4595
Monroe County Jail,Monroe County,Georgia,13207,Local,2690,5079
Montgomery Correctional Institution,Montgomery County,Georgia,13209,State,640,3588
Montgomery State Prison,Montgomery County,Georgia,13209,State,1870,749
Morgan County Detention Center,Morgan County,Georgia,13211,Local,2684,5818
Murray County Jail,Murray County,Georgia,13213,Local,2580,6268
Columbus Transitional Center,Muscogee County,Georgia,13215,State,2365,802
Muscogee County Jail,Muscogee County,Georgia,13215,Local,277,981
Muscogee County Prison,Muscogee County,Georgia,13215,County,1043,4071
Muscogee State Prison,Muscogee County,Georgia,13215,"State,Local",81,3124
Rutledge State Prison,Muscogee County,Georgia,13215,State,151,3568
Unlisted - Muscogee County,Muscogee County,Georgia,13215,Unlisted,357,5564
Newton County Courthouse,Newton County,Georgia,13217,Local,1813,4570
Newton County Jail,Newton County,Georgia,13217,Local,572,6782
Unlisted - Newton County,Newton County,Georgia,13217,Unlisted,2772,5637
Oconee County Jail,Oconee County,Georgia,13219,Local,674,6521
Oglethorpe County Jail,Oglethorpe County,Georgia,13221,Local,1946,4593
Paulding County Detention Center,Paulding County,Georgia,13223,Local,2660,1779
Paulding Probation Detention Center,Paulding County,Georgia,13223,State,1301,6060
Pickens County Jail,Pickens County,Georgia,13227,Local,2643,2132
Pierce County Jail,Pierce County,Georgia,13229,Local,679,5879
Pike County Jail,Pike County,Georgia,13231,Local,386,545
West Central Probation Detention Center,Pike County,Georgia,13231,State,1960,2221
Polk County Jail,Polk County,Georgia,13233,Local,1277,5657
Pulaski State Prison,Pulaski County,Georgia,13235,State,684,1043
Putnam County Jail,Putnam County,Georgia,13237,Local,1368,3279
Clayton Transitional Center,Rabun County,Georgia,13241,State,2117,3467
Rabun County Jail,Rabun County,Georgia,13241,Local,1935,2460
Randolph County Jail,Randolph County,Georgia,13243,Local,1309,1702
Augusta Medical Corr Instit,Richmond County,Georgia,13245,State,2130,4384
Augusta Transitional Center,Richmond County,Georgia,13245,State,956,2139
Augusta-Richmond County,Richmond County,Georgia,13245,Local,2165,316
Richmond County Correctional Institution,Richmond County,Georgia,13245,County,1634,3073
Unlisted - Richmond County,Richmond County,Georgia,13245,Unlisted,2640,232
Webster Detention Center,Richmond County,Georgia,13245,Local,11,6707
Rockdale County Jail,Rockdale County,Georgia,13247,Local,2020,1958
Screven County Jail,Screven County,Georgia,13251,Local,2316,797
Screven County Prison,Screven County,Georgia,13251,County,2332,5786
Seminole County Jail,Seminole County,Georgia,13253,Local,945,6179
Spalding County Correctional Institution,Spalding County,Georgia,13255,Local,1328,4351
Spalding County Jail,Spalding County,Georgia,13255,Local,1792,5880
Unlisted - Stephens County,Stephens County,Georgia,13257,Unlisted,874,6215
Stewart Detention Center,Stewart County,Georgia,13259,Federal,75,2119
Sumter County Correctional Institute,Sumter County,Georgia,13261,County,154,3915
Sumter County Correctional Annex,Sumter County,Georgia,13261,Local,2577,2504
Talbot County Jail,Talbot County,Georgia,13263,Local,589,6376
Georgia State Prison,Tattnall County,Georgia,13267,State,441,2385
Rogers State Prison,Tattnall County,Georgia,13267,State,158,6423
Smith State Prison,Tattnall County,Georgia,13267,State,1725,5088
Unlisted - Tattnall County,Tattnall County,Georgia,13267,Unlisted,2427,5324
Taylor County Jail,Taylor County,Georgia,13269,Local,646,6408
Western Probation Detention Center,Taylor County,Georgia,13269,State,1258,2324
Mcrae Correctional Institute,Telfair County,Georgia,13271,Private,2501,4501
McRae Correctional Institution,Telfair County,Georgia,13271,Private,1951,2618
Telfair County Jail,Telfair County,Georgia,13271,Local,737,6359
Telfair State Prison,Telfair County,Georgia,13271,State,1531,723
Terrell County Correctional Institute,Terrell County,Georgia,13273,County,1584,1451
Terrell Detention Center,Terrell County,Georgia,13273,State,2421,346
Thomas County Prison,Thomas County,Georgia,13275,Local,703,2236
Tift County Jail,Tift County,Georgia,13277,Local,859,123
Towns County Detention Center,Towns County,Georgia,13281,Local,112,699
Treutlen Boot Camp,Treutlen County,Georgia,13283,State,1743,6903
Treutlen County Jail,Treutlen County,Georgia,13283,Local,183,1043
Charles D. Hudson Transitional Center,Troup County,Georgia,13285,State,2440,3759
Lagrange Transitional Center,Troup County,Georgia,13285,State,1230,4745
Troup County Correctional Institution,Troup County,Georgia,13285,Local,756,5895
Turner County Jail,Turner County,Georgia,13287,Local,1312,1313
Turner Pre-Release Center,Turner County,Georgia,13287,State,2765,2200
Carlton Colwell Probation Detention Center,Union County,Georgia,13291,State,363,4550
Union County Jail,Union County,Georgia,13291,Local,1023,5986
Upson County Jail,Upson County,Georgia,13293,Local,1664,1376
Walker Correctional Institution,Walker County,Georgia,13295,State,1057,6795
Walker County Jail,Walker County,Georgia,13295,Local,37,5375
Walker State Prison,Walker County,Georgia,13295,State,1763,336
Walton County Jail,Walton County,Georgia,13297,Local,1623,2455
Unlisted - Ware County,Ware County,Georgia,13299,Unlisted,2563,5659
Ware County Jail,Ware County,Georgia,13299,Local,799,6251
Ware State Prison,Ware County,Georgia,13299,State,1048,954
Washington Correctional Institution,Washington County,Georgia,13303,State,900,63
Washington County Jail,Washington County,Georgia,13303,Local,2532,2609
Washington State Prison,Washington County,Georgia,13303,State,1727,1841
Jesup Federal Correctional Institution,Wayne County,Georgia,13305,Federal,1508,2176
Federal Correctional Institution ,Wayne County,Georgia,13305,Federal,134,1057
Wayne County Correction Facility,Wayne County,Georgia,13305,Local,496,5377
Wheeler Correctional Facility,Wheeler County,Georgia,13309,Private,1379,704
Wheeler Correctional Annex,Wheeler County,Georgia,13309,Private,2275,5747
White County Jail,White County,Georgia,13311,Local,179,5925
Whitfield County Jail,Whitfield County,Georgia,13313,Local,976,6460
Wilcox County Jail,Wilcox County,Georgia,13315,Local,223,6828
Wilcox Women's State Prison,Wilcox County,Georgia,13315,State,1195,827
Wilcox Men's State Prison,Wilcox County,Georgia,13315,State,2404,6259
Cecil A Moore Law Enforcement Center,Wilkes County,Georgia,13317,Local,744,5144
Wilkes Pre-Release Center,Wilkes County,Georgia,13317,State,1999,6385
Wilkinson County Jail,Wilkinson County,Georgia,13319,Local,2285,4490
Worth County Jail,Worth County,Georgia,13321,Local,88,5913
Kulani Correctional Facility ,Hawaii County,Hawaii,15001,State,1253,4406
Unlisted - Hawaii County,Hawaii County,Hawaii,15001,Unlisted,895,5386
Federal Detention Center - Honolulu County,Honolulu County,Hawaii,15003,Federal,751,6839
Halawa Correctional Facility,Honolulu County,Hawaii,15003,State,379,5841
Honolulu Federal Detention Center,Honolulu County,Hawaii,15003,County,500,1416
Oahu Community Correction Center,Honolulu County,Hawaii,15003,State,2570,4235
Unlisted - Honolulu County I,Honolulu County,Hawaii,15003,Unlisted,1198,2453
Unlisted - Honolulu County II,Honolulu County,Hawaii,15003,Unlisted,901,2571
Waiawa Correctional Facility ,Honolulu County,Hawaii,15003,State,2198,637
Women's Community Correctional Center ,Honolulu County,Hawaii,15003,State,2063,766
Kauai Community Correct Center,Kauai County,Hawaii,15007,State,982,5684
Unlisted - Kauai County,Kauai County,Hawaii,15007,Unlisted,95,1446
Maui Com Correct Center,Maui County,Hawaii,15009,State,2084,4185
Ada County Jail,Ada County,Idaho,16001,Local,2497,4130
Correctional Alternative Placement Program,Ada County,Idaho,16001,State,1423,5637
East Boise Community Work Center,Ada County,Idaho,16001,State,840,277
Idaho Correctional Center ,Ada County,Idaho,16001,"State,Private",773,2827
Idaho Maximum Security Institution ,Ada County,Idaho,16001,State,819,2311
Idaho State Correctional Annex,Ada County,Idaho,16001,State,2200,6245
Idaho State Correctional Institution,Ada County,Idaho,16001,State,2655,4734
Idaho Maximum Security Institution,Ada County,Idaho,16001,State,996,5459
South Boise Women's Correctional Center,Ada County,Idaho,16001,State,2124,1337
South Idaho Correctional Institution,Ada County,Idaho,16001,State,1072,3663
South Boise Women's Correctional Annex,Ada County,Idaho,16001,State,543,2000
South Idaho Correctional Institution Community Work Center,Ada County,Idaho,16001,State,1128,5078
Unlisted - Ada County,Ada County,Idaho,16001,Unlisted,1781,5589
Adams County Jail,Adams County,Idaho,16003,Local,2359,3501
Bannock County Jail,Bannock County,Idaho,16005,Local,1595,6161
Pocatello Women's Correctional Cent,Bannock County,Idaho,16005,State,2078,4241
Pocatello Men's Correctional Center,Bannock County,Idaho,16005,State,1348,6067
Benewah County Jail,Benewah County,Idaho,16009,Local,398,4653
Bingham County Jail,Bingham County,Idaho,16011,Local,1042,5685
Bonner County Jail,Bonner County,Idaho,16017,Local,2290,2642
Bonneville County Jail,Bonneville County,Idaho,16019,Local,1817,114
Idaho Falls Community Work Center,Bonneville County,Idaho,16019,State,49,3734
Boundary County Jail,Boundary County,Idaho,16021,Local,903,4015
Butte County Jail,Butte County,Idaho,16023,Local,443,4284
Canyon County Jail,Canyon County,Idaho,16027,Local,223,5895
Dale G. Haile Detention Center,Canyon County,Idaho,16027,Private,2712,5486
Nampa Community Work Center,Canyon County,Idaho,16027,State,1625,4013
Caribou County Jail,Caribou County,Idaho,16029,Local,1214,1590
Cassia County Jail,Cassia County,Idaho,16031,Local,745,3307
Minicassia Detention Center,Cassia County,Idaho,16031,State,1151,1664
Clearwater County Jail,Clearwater County,Idaho,16035,Local,546,3881
Orofino Correctional Institution ,Clearwater County,Idaho,16035,State,2759,6509
Idaho Correctional Institution,Clearwater County,Idaho,16035,State,2641,6529
Custer County Jail,Custer County,Idaho,16037,Local,156,4207
Elmore County Jail,Elmore County,Idaho,16039,Local,983,6798
Fremont County Jail,Fremont County,Idaho,16043,Local,2562,6851
St. Anthony Work Camp,Fremont County,Idaho,16043,State,412,5835
Gem County Jail,Gem County,Idaho,16045,Local,744,4234
Gooding County Jail,Gooding County,Idaho,16047,Local,1139,5679
Gooding County Jail Annex,Gooding County,Idaho,16047,Local,135,5051
North Idaho Correctional Institution,Idaho County,Idaho,16049,State,356,5376
Jefferson County Jail,Jefferson County,Idaho,16051,Local,2308,5068
Jerome County Jail,Jerome County,Idaho,16053,Local,1322,1437
Kootenai County Jail,Kootenai County,Idaho,16055,Local,2500,6736
Kootenai County Work Release Center,Kootenai County,Idaho,16055,Local,197,4446
Latah County Jail,Latah County,Idaho,16057,Local,1707,1300
Unlisted - Latah County,Latah County,Idaho,16057,Unlisted,1795,3828
Lemhi County Jail,Lemhi County,Idaho,16059,Local,2557,2691
Lewis County Jail,Lewis County,Idaho,16061,Local,2413,607
Madison County Jail,Madison County,Idaho,16065,Local,897,5748
Nez Perce County Jail,Nez Perce County,Idaho,16069,Local,1748,2184
Owyhee County Jail,Owyhee County,Idaho,16073,Local,1204,5932
Unlisted - Owyhee County,Owyhee County,Idaho,16073,Unlisted,2464,6231
Payette County Jail,Payette County,Idaho,16075,Local,607,1488
Power County Jail,Power County,Idaho,16077,Local,199,645
Shoshone County Jail,Shoshone County,Idaho,16079,Local,342,5343
Idaho Department of Correction,Twin Falls County,Idaho,16083,State,660,5113
Twin Falls County Jail,Twin Falls County,Idaho,16083,Local,210,6118
Unlisted - Twin Falls County,Twin Falls County,Idaho,16083,Unlisted,2184,3471
Valley County Jail,Valley County,Idaho,16085,Local,861,6110
Washington County Jail,Washington County,Idaho,16087,Local,1582,4141
Adams County Jail,Adams County,Illinois,17001,Local,2760,4288
Clayton Work Camp,Adams County,Illinois,17001,State,118,376
Tamms Correctional Center,Alexander County,Illinois,17003,State,266,1515
