state name,county fips,county name,votes gop,votes dem,total votes,% GOP,% DEM,Majority,% Votes
Indiana,18069,Huntington County,13147,4255,17810,73.82%,23.89%,GOP,97.71%
Indiana,18071,Jackson County,14555,4302,19238,75.66%,22.36%,GOP,98.02%
Indiana,18073,Jasper County,11383,3798,15495,73.46%,24.51%,GOP,97.97%
Indiana,18075,Jay County,6361,1926,8466,75.14%,22.75%,GOP,97.89%
Indiana,18077,Jefferson County,9659,4731,14725,65.60%,32.13%,GOP,97.72%
Indiana,18079,Jennings County,9490,2523,12251,77.46%,20.59%,GOP,98.06%
Indiana,18081,Johnson County,51209,24729,77784,65.83%,31.79%,GOP,97.63%
Indiana,18083,Knox County,11654,4067,16027,72.71%,25.38%,GOP,98.09%
Indiana,18085,Kosciusko County,26476,8350,35846,73.86%,23.29%,GOP,97.15%
Indiana,18087,LaGrange County,8110,2355,10633,76.27%,22.15%,GOP,98.42%
Indiana,18089,Lake County,91733,124801,220233,41.65%,56.67%,DEM,98.32%
Indiana,18091,LaPorte County,25991,22419,49469,52.54%,45.32%,GOP,97.86%
Indiana,18093,Lawrence County,15601,4961,21071,74.04%,23.54%,GOP,97.58%
Indiana,18095,Madison County,31215,19524,51765,60.30%,37.72%,GOP,98.02%
Indiana,18097,Marion County,133968,247265,390405,34.32%,63.34%,DEM,97.65%
Indiana,18099,Marshall County,13844,5712,19918,69.50%,28.68%,GOP,98.18%
Indiana,18101,Martin County,4029,1011,5155,78.16%,19.61%,GOP,97.77%
Indiana,18103,Miami County,10925,3235,14493,75.38%,22.32%,GOP,97.70%
Indiana,18105,Monroe County,22071,39861,63037,35.01%,63.23%,DEM,98.25%
Indiana,18107,Montgomery County,12659,4213,17198,73.61%,24.50%,GOP,98.10%
Indiana,18109,Morgan County,27510,7777,36214,75.97%,21.48%,GOP,97.44%
Indiana,18111,Newton County,4942,1509,6591,74.98%,22.89%,GOP,97.88%
Indiana,18113,Noble County,14195,4660,19217,73.87%,24.25%,GOP,98.12%
Indiana,18115,Ohio County,2392,750,3164,75.60%,23.70%,GOP,99.30%
Indiana,18117,Orange County,6432,2224,8830,72.84%,25.19%,GOP,98.03%
Indiana,18119,Owen County,7285,2419,9915,73.47%,24.40%,GOP,97.87%
Indiana,18121,Parke County,5398,1503,7020,76.89%,21.41%,GOP,98.30%
Indiana,18123,Perry County,5343,3202,8734,61.17%,36.66%,GOP,97.84%
Indiana,18125,Pike County,4692,1415,6220,75.43%,22.75%,GOP,98.18%
Indiana,18127,Porter County,45008,39746,86410,52.09%,46.00%,GOP,98.08%
Indiana,18129,Posey County,9206,3811,13264,69.41%,28.73%,GOP,98.14%
Indiana,18131,Pulaski County,4246,1463,5813,73.04%,25.17%,GOP,98.21%
Indiana,18133,Putnam County,12278,3946,16595,73.99%,23.78%,GOP,97.76%
Indiana,18135,Randolph County,8312,2512,11078,75.03%,22.68%,GOP,97.71%
Indiana,18137,Ripley County,11261,2774,14264,78.95%,19.45%,GOP,98.39%
Indiana,18139,Rush County,6035,1754,7932,76.08%,22.11%,GOP,98.20%
Indiana,18141,St. Joseph County,53152,59870,115547,46.00%,51.81%,DEM,97.81%
Indiana,18143,Scott County,7328,2698,10176,72.01%,26.51%,GOP,98.53%
Indiana,18145,Shelby County,14568,5023,20017,72.78%,25.09%,GOP,97.87%
Indiana,18147,Spencer County,7354,3208,10781,68.21%,29.76%,GOP,97.97%
Indiana,18149,Starke County,7466,2650,10309,72.42%,25.71%,GOP,98.13%
Indiana,18151,Steuben County,11322,4509,16175,70.00%,27.88%,GOP,97.87%
Indiana,18153,Sullivan County,6687,2153,9004,74.27%,23.91%,GOP,98.18%
Indiana,18155,Switzerland County,3133,964,4152,75.46%,23.22%,GOP,98.68%
Indiana,18157,Tippecanoe County,34581,35017,71430,48.41%,49.02%,GOP,97.44%
Indiana,18159,Tipton County,6110,1834,8124,75.21%,22.58%,GOP,97.78%
Indiana,18161,Union County,2687,736,3491,76.97%,21.08%,GOP,98.05%
Indiana,18163,Vanderburgh County,41844,34415,77581,53.94%,44.36%,GOP,98.30%
Indiana,18165,Vermillion County,5184,2145,7480,69.30%,28.68%,GOP,97.98%
Indiana,18167,Vigo County,24512,18080,43593,56.23%,41.47%,GOP,97.70%
Indiana,18169,Wabash County,10762,3494,14598,73.72%,23.93%,GOP,97.66%
Indiana,18171,Warren County,3401,974,4473,76.03%,21.78%,GOP,97.81%
Indiana,18173,Warrick County,21324,11919,33884,62.93%,35.18%,GOP,98.11%
Indiana,18175,Washington County,9114,2784,12131,75.13%,22.95%,GOP,98.08%
Indiana,18177,Wayne County,17567,9524,27662,63.51%,34.43%,GOP,97.94%
Indiana,18179,Wells County,10855,2928,14080,77.10%,20.80%,GOP,97.89%
Indiana,18181,White County,7957,3032,11159,71.31%,27.17%,GOP,98.48%
Indiana,18183,Whitley County,12856,4233,17581,73.12%,24.08%,GOP,97.20%
Iowa,19001,Adair County,2917,1197,4183,69.73%,28.62%,GOP,98.35%
Iowa,19003,Adams County,1528,590,2158,70.81%,27.34%,GOP,98.15%
Iowa,19005,Allamakee County,4733,2575,7459,63.45%,34.52%,GOP,97.98%
Iowa,19007,Appanoose County,4512,1891,6506,69.35%,29.07%,GOP,98.42%
Iowa,19009,Audubon County,2295,1071,3416,67.18%,31.35%,GOP,98.54%
Iowa,19011,Benton County,9179,5156,14627,62.75%,35.25%,GOP,98.00%
Iowa,19013,Black Hawk County,29623,35621,66549,44.51%,53.53%,DEM,98.04%
Iowa,19015,Boone County,8695,6303,15306,56.81%,41.18%,GOP,97.99%
Iowa,19017,Bremer County,8287,5954,14534,57.02%,40.97%,GOP,97.98%
Iowa,19019,Buchanan County,6420,4169,10764,59.64%,38.73%,GOP,98.37%
Iowa,19021,Buena Vista County,5056,2961,8149,62.04%,36.34%,GOP,98.38%
Iowa,19023,Butler County,5542,2424,8084,68.56%,29.99%,GOP,98.54%
Iowa,19025,Calhoun County,3689,1470,5249,70.28%,28.01%,GOP,98.29%
Iowa,19027,Carroll County,7737,3454,11306,68.43%,30.55%,GOP,98.98%
Iowa,19029,Cass County,4969,2201,7266,68.39%,30.29%,GOP,98.68%
Iowa,19031,Cedar County,6161,4337,10703,57.56%,40.52%,GOP,98.08%
Iowa,19033,Cerro Gordo County,12435,10941,23794,52.26%,45.98%,GOP,98.24%
Iowa,19035,Cherokee County,4495,1936,6503,69.12%,29.77%,GOP,98.89%
Iowa,19037,Chickasaw County,4308,2233,6617,65.11%,33.75%,GOP,98.85%
Iowa,19039,Clarke County,3140,1466,4666,67.30%,31.42%,GOP,98.71%
Iowa,19041,Clay County,6137,2662,8948,68.59%,29.75%,GOP,98.33%
Iowa,19043,Clayton County,6106,3340,9581,63.73%,34.86%,GOP,98.59%
Iowa,19045,Clinton County,13349,10806,24669,54.11%,43.80%,GOP,97.92%
Iowa,19047,Crawford County,4854,2220,7146,67.93%,31.07%,GOP,98.99%
Iowa,19049,Dallas County,27987,26879,55847,50.11%,48.13%,GOP,98.24%
Iowa,19051,Davis County,3032,1013,4099,73.97%,24.71%,GOP,98.68%
Iowa,19053,Decatur County,2615,1120,3801,68.80%,29.47%,GOP,98.26%
Iowa,19055,Delaware County,6666,3157,9981,66.79%,31.63%,GOP,98.42%
Iowa,19057,Des Moines County,10589,8887,19947,53.09%,44.55%,GOP,97.64%
Iowa,19059,Dickinson County,7438,3661,11230,66.23%,32.60%,GOP,98.83%
Iowa,19061,Dubuque County,27214,25655,53924,50.47%,47.58%,GOP,98.04%
Iowa,19063,Emmet County,3265,1520,4850,67.32%,31.34%,GOP,98.66%
Iowa,19065,Fayette County,6145,3834,10184,60.34%,37.65%,GOP,97.99%
Iowa,19067,Floyd County,4730,3168,8026,58.93%,39.47%,GOP,98.41%
Iowa,19069,Franklin County,3422,1626,5119,66.85%,31.76%,GOP,98.61%
Iowa,19071,Fremont County,2711,1078,3855,70.32%,27.96%,GOP,98.29%
Iowa,19073,Greene County,3221,1768,5054,63.73%,34.98%,GOP,98.71%
Iowa,19075,Grundy County,4929,2206,7260,67.89%,30.39%,GOP,98.28%
Iowa,19077,Guthrie County,4272,1985,6369,67.07%,31.17%,GOP,98.24%
Iowa,19079,Hamilton County,4956,2842,8516,58.20%,33.37%,GOP,91.57%
Iowa,19081,Hancock County,4390,1683,6161,71.25%,27.32%,GOP,98.57%
Iowa,19083,Hardin County,5850,2976,8975,65.18%,33.16%,GOP,98.34%
Iowa,19085,Harrison County,5569,2440,8144,68.38%,29.96%,GOP,98.34%
Iowa,19087,Henry County,6507,3275,9964,65.31%,32.87%,GOP,98.17%
Iowa,19089,Howard County,3127,1772,4952,63.15%,35.78%,GOP,98.93%
Iowa,19091,Humboldt County,3819,1442,5321,71.77%,27.10%,GOP,98.87%
Iowa,19093,Ida County,2876,917,3845,74.80%,23.85%,GOP,98.65%
Iowa,19095,Iowa County,6009,3547,9716,61.85%,36.51%,GOP,98.35%
Iowa,19097,Jackson County,6940,4029,11118,62.42%,36.24%,GOP,98.66%
Iowa,19099,Jasper County,12082,7737,20181,59.87%,38.34%,GOP,98.21%
Iowa,19101,Jefferson County,4442,4314,8952,49.62%,48.19%,GOP,97.81%
Iowa,19103,Johnson County,22925,59177,83570,27.43%,70.81%,DEM,98.24%
Iowa,19105,Jones County,6572,4213,10965,59.94%,38.42%,GOP,98.36%
Iowa,19107,Keokuk County,3797,1414,5291,71.76%,26.72%,GOP,98.49%
Iowa,19109,Kossuth County,6275,2696,9077,69.13%,29.70%,GOP,98.83%
Iowa,19111,Lee County,9763,6539,16721,58.39%,39.11%,GOP,97.49%
Iowa,19113,Linn County,53364,70874,127078,41.99%,55.77%,DEM,97.77%
Iowa,19115,Louisa County,3500,1726,5326,65.72%,32.41%,GOP,98.12%
Iowa,19117,Lucas County,3287,1284,4630,70.99%,27.73%,GOP,98.73%
Iowa,19119,Lyon County,5707,1067,6852,83.29%,15.57%,GOP,98.86%
Iowa,19121,Madison County,6507,3134,9806,66.36%,31.96%,GOP,98.32%
Iowa,19123,Mahaska County,8297,2894,11381,72.90%,25.43%,GOP,98.33%
Iowa,19125,Marion County,12657,6170,19217,65.86%,32.11%,GOP,97.97%
Iowa,19127,Marshall County,9564,8171,18122,52.78%,45.09%,GOP,97.86%
Iowa,19129,Mills County,5572,2500,8247,67.56%,30.31%,GOP,97.88%
Iowa,19131,Mitchell County,3677,2053,5815,63.23%,35.31%,GOP,98.54%
Iowa,19133,Monona County,3248,1407,4714,68.90%,29.85%,GOP,98.75%
Iowa,19135,Monroe County,2975,1078,4085,72.83%,26.39%,GOP,99.22%
Iowa,19137,Montgomery County,3659,1583,5320,68.78%,29.76%,GOP,98.53%
Iowa,19139,Muscatine County,10823,9372,20629,52.46%,45.43%,GOP,97.90%
Iowa,19141,O'Brien County,5861,1569,7541,77.72%,20.81%,GOP,98.53%
Iowa,19143,Osceola County,2688,600,3325,80.84%,18.05%,GOP,98.89%
Iowa,19145,Page County,5319,2086,7519,70.74%,27.74%,GOP,98.48%
Iowa,19147,Palo Alto County,3370,1519,4950,68.08%,30.69%,GOP,98.77%
Iowa,19149,Plymouth County,10492,3494,14165,74.07%,24.67%,GOP,98.74%
Iowa,19151,Pocahontas County,2825,932,3821,73.93%,24.39%,GOP,98.33%
Iowa,19153,Polk County,106800,146250,257991,41.40%,56.69%,DEM,98.08%
Iowa,19155,Pottawattamie County,26241,18570,45733,57.38%,40.61%,GOP,97.98%
Iowa,19157,Poweshiek County,5657,4306,10124,55.88%,42.53%,GOP,98.41%
Iowa,19159,Ringgold County,1964,708,2709,72.50%,26.14%,GOP,98.63%
Iowa,19161,Sac County,4061,1389,5527,73.48%,25.13%,GOP,98.61%
Iowa,19163,Scott County,43661,46890,92639,47.13%,50.62%,DEM,97.75%
Iowa,19165,Shelby County,4697,1959,6781,69.27%,28.89%,GOP,98.16%
Iowa,19167,Sioux County,15680,3019,18956,82.72%,15.93%,GOP,98.64%
Iowa,19169,Story County,20340,29175,50837,40.01%,57.39%,DEM,97.40%
Iowa,19171,Tama County,5303,3577,9026,58.75%,39.63%,GOP,98.38%
Iowa,19173,Taylor County,2463,746,3242,75.97%,23.01%,GOP,98.98%
Iowa,19175,Union County,4010,2061,6171,64.98%,33.40%,GOP,98.38%
Iowa,19177,Van Buren County,2859,875,3788,75.48%,23.10%,GOP,98.57%
Iowa,19179,Wapello County,9516,5821,15613,60.95%,37.28%,GOP,98.23%
Iowa,19181,Warren County,17738,12537,30955,57.30%,40.50%,GOP,97.80%
Iowa,19183,Washington County,6966,4558,11757,59.25%,38.77%,GOP,98.02%
Iowa,19185,Wayne County,2338,727,3103,75.35%,23.43%,GOP,98.78%
Iowa,19187,Webster County,10927,6604,17802,61.38%,37.10%,GOP,98.48%
Iowa,19189,Winnebago County,3707,2135,5951,62.29%,35.88%,GOP,98.17%
Iowa,19191,Winneshiek County,6235,5617,12036,51.80%,46.67%,GOP,98.47%
Iowa,19193,Woodbury County,25736,18704,45172,56.97%,41.41%,GOP,98.38%
Iowa,19195,Worth County,2738,1596,4414,62.03%,36.16%,GOP,98.19%
Iowa,19197,Wright County,4136,1996,6242,66.26%,31.98%,GOP,98.24%
Kansas,20001,Allen County,4155,1559,5842,71.12%,26.69%,GOP,97.81%
Kansas,20003,Anderson County,2874,765,3720,77.26%,20.56%,GOP,97.82%
Kansas,20005,Atchison County,4826,2314,7312,66.00%,31.65%,GOP,97.65%
Kansas,20007,Barber County,1992,284,2313,86.12%,12.28%,GOP,98.40%
Kansas,20009,Barton County,8480,2302,10961,77.37%,21.00%,GOP,98.37%
Kansas,20011,Bourbon County,4910,1505,6550,74.96%,22.98%,GOP,97.94%
Kansas,20013,Brown County,3206,1088,4396,72.93%,24.75%,GOP,97.68%
Kansas,20015,Butler County,22250,9003,31946,69.65%,28.18%,GOP,97.83%
Kansas,20017,Chase County,1114,341,1478,75.37%,23.07%,GOP,98.44%
Kansas,20019,Chautauqua County,1397,212,1634,85.50%,12.97%,GOP,98.47%
Kansas,20021,Cherokee County,6622,2163,8945,74.03%,24.18%,GOP,98.21%
Kansas,20023,Cheyenne County,1158,220,1400,82.71%,15.71%,GOP,98.43%
Kansas,20025,Clark County,885,143,1048,84.45%,13.65%,GOP,98.09%
Kansas,20027,Clay County,3129,883,4134,75.69%,21.36%,GOP,97.05%
Kansas,20029,Cloud County,3182,893,4174,76.23%,21.39%,GOP,97.63%
Kansas,20031,Coffey County,3407,928,4448,76.60%,20.86%,GOP,97.46%
Kansas,20033,Comanche County,745,126,904,82.41%,13.94%,GOP,96.35%
Kansas,20035,Cowley County,9442,4171,13911,67.87%,29.98%,GOP,97.86%
Kansas,20037,Crawford County,9752,5971,16125,60.48%,37.03%,GOP,97.51%
Kansas,20039,Decatur County,1232,208,1458,84.50%,14.27%,GOP,98.77%
Kansas,20041,Dickinson County,7045,2040,9246,76.20%,22.06%,GOP,98.26%
Kansas,20043,Doniphan County,2949,678,3674,80.27%,18.45%,GOP,98.72%
Kansas,20045,Douglas County,16737,39436,57540,29.09%,68.54%,DEM,97.62%
Kansas,20047,Edwards County,1127,267,1413,79.76%,18.90%,GOP,98.66%
Kansas,20049,Elk County,1130,191,1347,83.89%,14.18%,GOP,98.07%
Kansas,20051,Ellis County,9569,3633,13501,70.88%,26.91%,GOP,97.79%
Kansas,20053,Ellsworth County,2106,646,2806,75.05%,23.02%,GOP,98.08%
Kansas,20055,Finney County,7079,4155,11466,61.74%,36.24%,GOP,97.98%
Kansas,20057,Ford County,5763,2926,8850,65.12%,33.06%,GOP,98.18%
Kansas,20059,Franklin County,8326,3623,12247,67.98%,29.58%,GOP,97.57%
Kansas,20061,Geary County,5193,3825,9311,55.77%,41.08%,GOP,96.85%
Kansas,20063,Gove County,1256,163,1433,87.65%,11.37%,GOP,99.02%
Kansas,20065,Graham County,1052,222,1302,80.80%,17.05%,GOP,97.85%
Kansas,20067,Grant County,1910,497,2452,77.90%,20.27%,GOP,98.16%
Kansas,20069,Gray County,1871,337,2240,83.53%,15.04%,GOP,98.57%
Kansas,20071,Greeley County,537,77,629,85.37%,12.24%,GOP,97.62%
Kansas,20073,Greenwood County,2404,562,3030,79.34%,18.55%,GOP,97.89%
Kansas,20075,Hamilton County,684,134,837,81.72%,16.01%,GOP,97.73%
Kansas,20077,Harper County,2128,453,2626,81.04%,17.25%,GOP,98.29%
Kansas,20079,Harvey County,10015,6652,17034,58.79%,39.05%,GOP,97.85%
Kansas,20081,Haskell County,1103,261,1383,79.75%,18.87%,GOP,98.63%
Kansas,20083,Hodgeman County,866,151,1033,83.83%,14.62%,GOP,98.45%
Kansas,20085,Jackson County,4435,1852,6468,68.57%,28.63%,GOP,97.20%
Kansas,20087,Jefferson County,6193,3106,9581,64.64%,32.42%,GOP,97.06%
Kansas,20089,Jewell County,1369,211,1608,85.14%,13.12%,GOP,98.26%
Kansas,20091,Johnson County,151280,177925,336277,44.99%,52.91%,DEM,97.90%
Kansas,20093,Kearny County,1134,255,1413,80.25%,18.05%,GOP,98.30%
Kansas,20095,Kingman County,3102,745,3929,78.95%,18.96%,GOP,97.91%
Kansas,20097,Kiowa County,957,153,1139,84.02%,13.43%,GOP,97.45%
Kansas,20099,Labette County,5639,2607,8414,67.02%,30.98%,GOP,98.00%
Kansas,20101,Lane County,757,114,888,85.25%,12.84%,GOP,98.09%
Kansas,20103,Leavenworth County,21378,13753,36115,59.19%,38.08%,GOP,97.28%
Kansas,20105,Lincoln County,1273,266,1570,81.08%,16.94%,GOP,98.03%
Kansas,20107,Linn County,3940,863,4903,80.36%,17.60%,GOP,97.96%
Kansas,20109,Logan County,1231,185,1437,85.66%,12.87%,GOP,98.54%
Kansas,20111,Lyon County,7381,5878,13622,54.18%,43.15%,GOP,97.34%
Kansas,20113,McPherson County,9562,3977,13868,68.95%,28.68%,GOP,97.63%
Kansas,20115,Marion County,4377,1463,5969,73.33%,24.51%,GOP,97.84%
Kansas,20117,Marshall County,3662,1239,5023,72.90%,24.67%,GOP,97.57%
Kansas,20119,Meade County,1508,261,1807,83.45%,14.44%,GOP,97.90%
Kansas,20121,Miami County,12116,5133,17624,68.75%,29.13%,GOP,97.87%
Kansas,20123,Mitchell County,2454,547,3039,80.75%,18.00%,GOP,98.75%
Kansas,20125,Montgomery County,9768,3147,13177,74.13%,23.88%,GOP,98.01%
Kansas,20127,Morris County,2085,721,2849,73.18%,25.31%,GOP,98.49%
Kansas,20129,Morton County,1004,147,1163,86.33%,12.64%,GOP,98.97%
Kansas,20131,Nemaha County,4612,920,5625,81.99%,16.36%,GOP,98.35%
Kansas,20133,Neosho County,4795,1727,6629,72.33%,26.05%,GOP,98.39%
Kansas,20135,Ness County,1315,147,1487,88.43%,9.89%,GOP,98.32%
Kansas,20137,Norton County,1977,361,2390,82.72%,15.10%,GOP,97.82%
Kansas,20139,Osage County,5591,2099,7893,70.83%,26.59%,GOP,97.43%
Kansas,20141,Osborne County,1590,275,1899,83.73%,14.48%,GOP,98.21%
Kansas,20143,Ottawa County,2581,504,3159,81.70%,15.95%,GOP,97.66%
Kansas,20145,Pawnee County,2028,635,2712,74.78%,23.41%,GOP,98.19%
Kansas,20147,Phillips County,2388,318,2752,86.77%,11.56%,GOP,98.33%
Kansas,20149,Pottawatomie County,9247,3257,12815,72.16%,25.42%,GOP,97.57%
Kansas,20151,Pratt County,3087,924,4107,75.16%,22.50%,GOP,97.66%
Kansas,20153,Rawlins County,1253,214,1496,83.76%,14.30%,GOP,98.06%
Kansas,20155,Reno County,17948,8602,27245,65.88%,31.57%,GOP,97.45%
Kansas,20157,Republic County,2172,420,2643,82.18%,15.89%,GOP,98.07%
Kansas,20159,Rice County,3187,953,4230,75.34%,22.53%,GOP,97.87%
Kansas,20161,Riley County,11174,11940,23855,46.84%,50.05%,DEM,96.89%
Kansas,20163,Rooks County,2294,332,2661,86.21%,12.48%,GOP,98.68%
Kansas,20165,Rush County,1425,291,1748,81.52%,16.65%,GOP,98.17%
Kansas,20167,Russell County,2765,591,3429,80.64%,17.24%,GOP,97.87%
Kansas,20169,Saline County,15313,8022,23911,64.04%,33.55%,GOP,97.59%
Kansas,20171,Scott County,1991,290,2322,85.75%,12.49%,GOP,98.23%
Kansas,20173,Sedgwick County,117653,90820,213552,55.09%,42.53%,GOP,97.62%
Kansas,20175,Seward County,3285,1736,5099,64.42%,34.05%,GOP,98.47%
Kansas,20177,Shawnee County,39890,42032,84061,47.45%,50.00%,DEM,97.46%
Kansas,20179,Sheridan County,1237,144,1397,88.55%,10.31%,GOP,98.85%
Kansas,20181,Sherman County,2222,386,2673,83.13%,14.44%,GOP,97.57%
Kansas,20183,Smith County,1734,328,2092,82.89%,15.68%,GOP,98.57%
Kansas,20185,Stafford County,1631,355,2017,80.86%,17.60%,GOP,98.46%
Kansas,20187,Stanton County,607,147,767,79.14%,19.17%,GOP,98.31%
Kansas,20189,Stevens County,1731,233,1997,86.68%,11.67%,GOP,98.35%
Kansas,20191,Sumner County,7998,2551,10779,74.20%,23.67%,GOP,97.87%
Kansas,20193,Thomas County,3106,622,3794,81.87%,16.39%,GOP,98.26%
Kansas,20195,Trego County,1341,238,1603,83.66%,14.85%,GOP,98.50%
Kansas,20197,Wabaunsee County,2813,956,3861,72.86%,24.76%,GOP,97.62%
Kansas,20199,Wallace County,762,44,817,93.27%,5.39%,GOP,98.65%
Kansas,20201,Washington County,2332,467,2843,82.03%,16.43%,GOP,98.45%
Kansas,20203,Wichita County,803,147,961,83.56%,15.30%,GOP,98.86%
Kansas,20205,Wilson County,3111,711,3899,79.79%,18.24%,GOP,98.03%
Kansas,20207,Woodson County,1189,283,1495,79.53%,18.93%,GOP,98.46%
Kansas,20209,Wyandotte County,18512,35566,55107,33.59%,64.54%,DEM,98.13%
Kentucky,21001,Adair County,7276,1392,8768,82.98%,15.88%,GOP,98.86%
Kentucky,21003,Allen County,7587,1642,9364,81.02%,17.54%,GOP,98.56%
Kentucky,21005,Anderson County,9661,3348,13254,72.89%,25.26%,GOP,98.15%
Kentucky,21007,Ballard County,3356,825,4225,79.43%,19.53%,GOP,98.96%
Kentucky,21009,Barren County,14654,5127,20064,73.04%,25.55%,GOP,98.59%
Kentucky,21011,Bath County,3986,1573,5627,70.84%,27.95%,GOP,98.79%
Kentucky,21013,Bell County,8140,1789,10044,81.04%,17.81%,GOP,98.86%
Kentucky,21015,Boone County,44814,20901,66998,66.89%,31.20%,GOP,98.09%
Kentucky,21017,Bourbon County,6190,3296,9648,64.16%,34.16%,GOP,98.32%
Kentucky,21019,Boyd County,14295,7083,21751,65.72%,32.56%,GOP,98.29%
Kentucky,21021,Boyle County,8872,5298,14478,61.28%,36.59%,GOP,97.87%
Kentucky,21023,Bracken County,3398,800,4246,80.03%,18.84%,GOP,98.87%
Kentucky,21025,Breathitt County,4265,1301,5661,75.34%,22.98%,GOP,98.32%
Kentucky,21027,Breckinridge County,7701,2350,10201,75.49%,23.04%,GOP,98.53%
Kentucky,21029,Bullitt County,30708,10552,41998,73.12%,25.13%,GOP,98.24%
Kentucky,21031,Butler County,4960,1079,6125,80.98%,17.62%,GOP,98.60%
Kentucky,21033,Caldwell County,4906,1433,6434,76.25%,22.27%,GOP,98.52%
Kentucky,21035,Calloway County,11352,5797,17457,65.03%,33.21%,GOP,98.24%
Kentucky,21037,Campbell County,28482,19374,48878,58.27%,39.64%,GOP,97.91%
Kentucky,21039,Carlisle County,2159,463,2638,81.84%,17.55%,GOP,99.39%
Kentucky,21041,Carroll County,2954,1116,4136,71.42%,26.98%,GOP,98.40%
Kentucky,21043,Carter County,8775,2642,11586,75.74%,22.80%,GOP,98.54%
Kentucky,21045,Casey County,6179,918,7171,86.17%,12.80%,GOP,98.97%
Kentucky,21047,Christian County,15080,8296,23863,63.19%,34.77%,GOP,97.96%
Kentucky,21049,Clark County,11811,6004,18139,65.11%,33.10%,GOP,98.21%
Kentucky,21051,Clay County,6677,831,7591,87.96%,10.95%,GOP,98.91%
Kentucky,21053,Clinton County,4280,603,4932,86.78%,12.23%,GOP,99.01%
Kentucky,21055,Crittenden County,3451,731,4242,81.35%,17.23%,GOP,98.59%
Kentucky,21057,Cumberland County,2769,508,3309,83.68%,15.35%,GOP,99.03%
Kentucky,21059,Daviess County,31025,17286,49287,62.95%,35.07%,GOP,98.02%
Kentucky,21061,Edmonson County,4828,1227,6132,78.73%,20.01%,GOP,98.74%
Kentucky,21063,Elliott County,2246,712,2995,74.99%,23.77%,GOP,98.76%
Kentucky,21065,Estill County,5100,1355,6540,77.98%,20.72%,GOP,98.70%
Kentucky,21067,Fayette County,58860,90600,152912,38.49%,59.25%,DEM,97.74%
Kentucky,21069,Fleming County,5534,1474,7068,78.30%,20.85%,GOP,99.15%
Kentucky,21071,Floyd County,12250,3884,16353,74.91%,23.75%,GOP,98.66%
Kentucky,21073,Franklin County,12900,12652,26072,49.48%,48.53%,GOP,98.01%
Kentucky,21075,Fulton County,1606,794,2426,66.20%,32.73%,GOP,98.93%
Kentucky,21077,Gallatin County,2955,822,3849,76.77%,21.36%,GOP,98.13%
Kentucky,21079,Garrard County,6754,1830,8706,77.58%,21.02%,GOP,98.60%
Kentucky,21081,Grant County,8725,2205,11108,78.55%,19.85%,GOP,98.40%
Kentucky,21083,Graves County,13206,3560,17019,77.60%,20.92%,GOP,98.51%
Kentucky,21085,Grayson County,9453,2400,11985,78.87%,20.03%,GOP,98.90%
Kentucky,21087,Green County,4838,920,5812,83.24%,15.83%,GOP,99.07%
Kentucky,21089,Greenup County,13064,4873,18176,71.88%,26.81%,GOP,98.69%
Kentucky,21091,Hancock County,3145,1351,4587,68.56%,29.45%,GOP,98.02%
Kentucky,21093,Hardin County,29832,18101,48941,60.96%,36.99%,GOP,97.94%
Kentucky,21095,Harlan County,9367,1494,10971,85.38%,13.62%,GOP,99.00%
Kentucky,21097,Harrison County,6334,2400,8859,71.50%,27.09%,GOP,98.59%
Kentucky,21099,Hart County,6345,1908,8370,75.81%,22.80%,GOP,98.60%
Kentucky,21101,Henderson County,12730,7639,20697,61.51%,36.91%,GOP,98.42%
Kentucky,21103,Henry County,5843,2142,8110,72.05%,26.41%,GOP,98.46%
Kentucky,21105,Hickman County,1714,458,2199,77.94%,20.83%,GOP,98.77%
Kentucky,21107,Hopkins County,15757,5439,21512,73.25%,25.28%,GOP,98.53%
Kentucky,21109,Jackson County,5453,605,6113,89.20%,9.90%,GOP,99.10%
Kentucky,21111,Jefferson County,150646,228358,386629,38.96%,59.06%,DEM,98.03%
Kentucky,21113,Jessamine County,17096,8567,26280,65.05%,32.60%,GOP,97.65%
Kentucky,21115,Johnson County,8450,1608,10192,82.91%,15.78%,GOP,98.69%
Kentucky,21117,Kenton County,48129,32271,82198,58.55%,39.26%,GOP,97.81%
Kentucky,21119,Knott County,4780,1412,6252,76.46%,22.58%,GOP,99.04%
Kentucky,21121,Knox County,11012,2114,13273,82.97%,15.93%,GOP,98.89%
Kentucky,21123,Larue County,5685,1504,7301,77.87%,20.60%,GOP,98.47%
Kentucky,21125,Laurel County,23237,4475,28111,82.66%,15.92%,GOP,98.58%
Kentucky,21127,Lawrence County,5633,1238,6955,80.99%,17.80%,GOP,98.79%
Kentucky,21129,Lee County,2273,481,2801,81.15%,17.17%,GOP,98.32%
Kentucky,21131,Leslie County,4321,446,4813,89.78%,9.27%,GOP,99.04%
Kentucky,21133,Letcher County,7226,1799,9135,79.10%,19.69%,GOP,98.80%
Kentucky,21135,Lewis County,4986,823,5883,84.75%,13.99%,GOP,98.74%
Kentucky,21137,Lincoln County,8489,2254,10914,77.78%,20.65%,GOP,98.43%
Kentucky,21139,Livingston County,4010,939,5004,80.14%,18.76%,GOP,98.90%
Kentucky,21141,Logan County,9067,3094,12350,73.42%,25.05%,GOP,98.47%
